journal_raw,n_articulos,pct
Adsorption Science and Technology,9,0.1
Journal of Ecological Engineering,9,0.1
Journal of Dispersion Science and Technology,9,0.1
Environmental Processes,9,0.1
Journal of Chromatography A,9,0.1
Frontiers in Chemistry,9,0.1
Environmental Engineering Science,9,0.1
Polymers for Advanced Technologies,8,0.1
Advanced Oxidation Process-Based Integrated and Hybrid Technologies for Degradation of Pharmaceuticals and Personal Care Products,8,0.1
Water environment research : a research publication of the Water Environment Federation,8,0.1
Advanced Sustainable Systems,8,0.1
Journal of Environmental Science and Health - Part A Toxic/Hazardous Substances and Environmental Engineering,8,0.1
Journal of Environmental Health Science and Engineering,8,0.1
Journal of Drug Delivery Science and Technology,8,0.1
Inorganic Chemistry Frontiers,8,0.1
International Journal of Environmental Research,8,0.1
Iranian Journal of Chemistry and Chemical Engineering,8,0.1
Environmental Monitoring and Assessment,8,0.1
Current Opinion in Environmental Science and Health,8,0.1
Catalysis Letters,8,0.1
Carbohydrate Polymer Technologies and Applications,8,0.1
ACS Applied Bio Materials,8,0.1
Microorganisms,7,0.1
Microchimica Acta,7,0.1
Environment international,7,0.1
Energy. Environ. Sustain.,7,0.1
Journal of the Electrochemical Society,7,0.1
Environmental Engineering Research,7,0.1
PloS one,7,0.1
Journal of Sol-Gel Science and Technology,7,0.1
Journal of Separation Science,7,0.1
Journal of Physics and Chemistry of Solids,7,0.1
Critical Reviews in Environmental Science and Technology,7,0.1
Chemical Engineering Journal Advances,7,0.1
Groundwater for Sustainable Development,7,0.1
Journal of Environmental Engineering (United States),7,0.1
Applied Materials Today,7,0.1
Chemical Engineering and Processing - Process Intensification,7,0.1
Carbohydrate Polymers,7,0.1
Ultrasonics Sonochemistry,7,0.1
International Journal of Design and Nature and Ecodynamics,6,0.1
"Journal of Biomaterials Science, Polymer Edition",6,0.1
Inorganica Chimica Acta,6,0.1
Small,6,0.1
"Small (Weinheim an der Bergstrasse, Germany)",6,0.1
Biomacromolecules,6,0.1
Solid State Sciences,6,0.1
Journal of Cluster Science,6,0.1
Huanjing Kexue Xuebao / Acta Scientiae Circumstantiae,6,0.1
Carbon Letters,6,0.1
Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,6,0.1
Chinese Journal of Analytical Chemistry,6,0.1
RSC Sustainability,6,0.1
Journal of Nanoparticle Research,6,0.1
