title_raw,year,journal_raw,doi_raw,pais,adsorbente,analitos,qmax_mg_g,remocion_pct,isoterma,cinetica,phpzc,bet_m2g,ph_operacional,dosis_g_l,tipo_matriz,ciclos_regen,etiqueta,score
Long-Term Effects of Polyvinyl Chloride Microplastics on Anaerobic Granular Sludge for Recovering Methane from Wastewater,2020,Environmental Science and Technology,10.1021/acs.est.0c02433,china,,,,,,,,,,,Real,,INCLUIDO_ALTA,18
Facile Fabrication of Flocculent Magnesium Silicate for the Adsorption of Oxytetracycline,2020,ACS Omega,10.1021/acsomega.0c02445,china,,Oxitetraciclina,,,Langmuir,PSO,,660.0,,,,,INCLUIDO_ALTA,66
Adsorption of chlortetracycline from aqueous solution by chitin,2020,Chemical Engineering Communications,10.1080/00986445.2019.1677628,,,Clortetraciclina,,,Freundlich,PSO,,,,5.0,,,INCLUIDO_ALTA,45
Efficacy of persulfate-based advanced oxidation process (US/PS/Fe3O4) for ciprofloxacin removal from aqueous solutions,2020,Applied Water Science,10.1007/s13201-020-01271-7,germany,,Ciprofloxacino,,98.43,,PFO,,,,0.01,,,INCLUIDO_ALTA,41
Characterization and ciprofloxacin adsorption properties of activated carbons prepared from various agricultural wastes by KOH activation,2020,Cellulose Chemistry and Technology,10.35812/CelluloseChemTechnol.2020.54.80,viet nam,Carbon activado,Ciprofloxacino,,,,,,,,,,,INCLUIDO_ALTA,72
Biosorption of organic micropollutants onto lignocellulosic-based material,2020,Water Science and Technology,10.2166/wst.2020.333,brazil,Carbon activado,,,,Langmuir,PSO,,,,,Sintetica,,INCLUIDO_ALTA,92
Adsorption of Bisphenol A from Aqueous Solution by HDTMA-Tunisian Clay Synthesized Under Microwave Irradiation: A Parametric and Thermodynamic Study,2020,Clays and Clay Minerals,10.1007/s42860-020-00079-5,tunisia,Arcilla/Zeolita,,,,Langmuir + Freundlich,,,,,,,,INCLUIDO_ALTA,85
Adsorption ability of cephalexin onto the straw-based activated carbon: Performance and mechanism,2020,Asian Journal of Chemistry,10.14233/ajchem.2020.22566,viet nam,Carbon activado,,,,,,,494.924,,,,,INCLUIDO_ALTA,65
Molten salt synthesis of hierarchically porous carbon for the efficient adsorptive removal of sodium diclofenac from aqueous effluents,2020,Journal of the Taiwan Institute of Chemical Engineers,10.1016/j.jtice.2020.07.018,egypt,,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,62
Efficient adsorbent based on construction and demolition wastes functionalized with 3-aminopropyltriethoxysilane (APTES) for the removal ciprofloxacin from hospital synthetic effluents,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103875,brazil,,Ciprofloxacino,138.0,,,,,,,,Real,,INCLUIDO_ALTA,50
"Fast, green and easy adsorption of dye and emerging contaminants by functionalized γ-AACH",2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2019.103616,italy,,,,,,,,,,,,,INCLUIDO_ALTA,37
Bagasse based biochar for the adsorptive removal of chlorpyrifos from contaminated water,2020,Journal of Environmental Chemical Engineering,10.1016/j.jece.2020.103904,india,Biochar,,,89.0,Freundlich,PSO,,,,,,,INCLUIDO_ALTA,74
"Occurrence, sources and conventional treatment techniques for various antibiotics present in hospital wastewaters: A critical review",2020,TrAC - Trends in Analytical Chemistry,10.1016/j.trac.2020.115921,india,,,,,,,,,,,Real,,INCLUIDO_ALTA,56
Enhanced Molecular Oxygen Activation on (001) Facets of Zn-Doped BiOCl Nanosheets for Ciprofloxacin Degradation,2020,Advanced Materials Interfaces,10.1002/admi.202000548,china,,Ciprofloxacino,,,,PFO,,,,,,,INCLUIDO_ALTA,26
Efficient removal of tylosin by nitrogen-doped mesoporous carbon nanospheres with tunable pore sizes,2020,Environmental Science and Pollution Research,10.1007/s11356-020-09387-8,china,,Tetraciclina,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,82
Assembly of SPS/MgSi assisted by dopamine with excellent removal performance for ciprofloxacin,2020,Journal of Environmental Sciences (China),10.1016/j.jes.2020.03.016,china,,Ciprofloxacino,,,,PSO,,,,,,,INCLUIDO_ALTA,54
High performance of molecularly imprinted polymer for the selective adsorption of erythromycin in water,2020,Colloid and Polymer Science,10.1007/s00396-020-04660-1,china,Hidrogel/Polimero,Eritromicina,,,Langmuir,,,,,,,,INCLUIDO_ALTA,32
"Fate of typical endocrine active compounds in full-scale wastewater treatment plants: Distribution, removal efficiency and potential risks",2020,Bioresource Technology,10.1016/j.biortech.2020.123436,china,,Estriol (E3),,,,,,,,,,,INCLUIDO_ALTA,31
Production of hierarchically porous carbon from natural biomass waste for efficient organic contaminants adsorption,2020,Journal of Cleaner Production,10.1016/j.jclepro.2020.121352,china,,,,,Freundlich,PSO,,,,,,,INCLUIDO_ALTA,66
Influence of parameters and radical scavengers on the visible-light-induced degradation of ciprofloxacin in ZnO/SnS2 nanocomposite suspension: Identification of transformation products,2020,Chemosphere,10.1016/j.chemosphere.2020.126689,malaysia,Nanocompuesto,Ciprofloxacino,,,Langmuir,,,,,,,,INCLUIDO_ALTA,28
Metal-organic framework HKUST-1-based Cu/Cu2O/CuO@C porous composite: Rapid synthesis and uptake application in antibiotics remediation,2020,Journal of Water Process Engineering,10.1016/j.jwpe.2020.101319,viet nam,MOF,Tetraciclina; Ciprofloxacino,,,,PSO,,80.0,,,,,INCLUIDO_ALTA,44
Biosorption of rifampicin from wastewater using cocoa shells product,2020,Separation Science and Technology (Philadelphia),10.1080/01496395.2019.1623255,algeria,Carbon activado,,,,Freundlich,,,,,,,,INCLUIDO_ALTA,39
β-Cyclodextrin Polymerized in Cross-Flowing Channels of Biomass Sawdust for Rapid and Highly Efficient Pharmaceutical Pollutants Removal from Water,2020,ACS Applied Materials and Interfaces,10.1021/acsami.0c08729,china,Biopolimero,Clortetraciclina; Levofloxacino,,,,,,,,,,,INCLUIDO_ALTA,65
Fabrication of a ternary BiOCl/CQDs/rGO photocatalyst: The roles of CQDs and rGO in adsorption-photocatalytic removal of ciprofloxacin,2020,Colloids and Surfaces A: Physicochemical and Engineering Aspects,10.1016/j.colsurfa.2020.124758,china,Nanocompuesto,Ciprofloxacino,,,,,,,,,,,INCLUIDO_ALTA,38
Adsorption characteristics and mechanism of norfloxacin in water by γ-Fe2O3@BC,2020,Water Science and Technology,10.2166/wst.2020.078,china,Biochar,Norfloxacino,,,Sips,PSO,,,,,,,INCLUIDO_ALTA,76
"High-efficiency adsorption of norfloxacin using octahedral UIO-66-NH2 nanomaterials: Dynamics, thermodynamics, and mechanisms",2020,Applied Surface Science,10.1016/j.apsusc.2020.146226,china,,Norfloxacino,,,,,,,,,,,INCLUIDO_ALTA,74
"Adsorptive removal of endocrine disrupting compounds from aqueous solutions using magnetic multi-wall carbon nanotubes modified with chitosan biopolymer based on response surface methodology: Functionalization, kinetics, and isotherms studies",2020,International Journal of Biological Macromolecules,10.1016/j.ijbiomac.2019.11.065,,Nanocompuesto,,,,Langmuir,PSO,,,,1.0,,,INCLUIDO_ALTA,67
Photocatalytic removal of antibiotics from natural water matrices and swine wastewater via Cu(I) coordinately polymeric carbon nitride framework,2020,Chemical Engineering Journal,10.1016/j.cej.2019.123638,china,,Clortetraciclina,,,,,,,,,Sintetica,,INCLUIDO_ALTA,75
Heterogeneous nucleation and synthesis of carbon dots hybrid Zr-based MOFs for simultaneous recognition and effective removal of tetracycline,2020,Chemical Engineering Journal,10.1016/j.cej.2019.123680,china,MOF,Tetraciclina,,,,,,,,,,,INCLUIDO_ALTA,55
Study on Cost-Efficient Carbon Aerogel to Remove Antibiotics from Water Resources,2020,ACS Omega,10.1021/acsomega.0c01479,,,,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,90
Ciprofloxacin adsorption on a mesoporous carbon prepared by a dual-template route,2020,Desalination and Water Treatment,10.5004/dwt.2020.25760,china,Carbon activado,Ciprofloxacino,,,Langmuir,PSO,,,,,,,INCLUIDO_ALTA,64
Adsorption removal of pharmaceutical and personal care products with functionalized metal-organic framework: Adsorptive selectivity and mechanism,2020,Desalination and Water Treatment,10.5004/dwt.2020.25472,china,Carbon activado,,,,,,,,,,,,INCLUIDO_ALTA,50
Efficiency of chitosan extracted from persian gulf shrimp shell in removal of penicillin g antibiotic from aqueous environment,2020,Iranian Journal of Chemistry and Chemical Engineering,10.30492/ijcce.2020.94974.3317,,Biopolimero,,,,Langmuir,PSO,,,,1.0,,,INCLUIDO_ALTA,92
